EC Reference Number,Entity name
PP1,"Beaconsfield Independent Electors Association"
PP10,"Community Representatives Party"
PP100,"Natural Law Party"
PP101,"Progressive Unionist Party of Northern Ireland"
PP102,"Scottish National Party (SNP)"
PP103,"Alliance - Alliance Party of Northern Ireland"
PP104,"New Britain"
PP105,"British National Party"
PP106,"British National Party"
PP107,"United Kingdom Unionist Party U.K.U.P."
PP108,"Socialist Alternative"
PP109,"The Local Party Bury St Edmunds"
PP11,"North Devon Independent Group"
PP110,"The Socialist Party of Great Britain"
PP112,"The People's Representative"
PP113,"The Freedom Party"
PP115,"ProLife"
PP116,"The Progressive Democratic Party"
PP117,"National Front"
PP118,"National Front"
PP119,"Co-operative Party"
PP12,"East Cleveland Independent"
PP120,"Scottish Unionist Party"
PP121,"The United Kingdom People's Party"
PP122,"The United Kingdom Peoples Party"
PP123,"The Human Rights Party"
PP124,"Isle of Wight Party_removed"
PP125,"Pensioner Coalition"
PP126,"Hawkwell Residents"
PP127,"The Workers Party"
PP128,"Independent Loughton Residents Association"
PP129,"Whitnash Residents Association"
PP13,"New Millennium Bean Party"
PP130,"Scottish Green Party"
PP131,"Local Government Reform"
PP132,"Tax-Avoid For The Self-Employed"
PP133,"The Peace Party - Non-violence, Justice, Environment"
PP134,"Full Executive Democratic President By Referendum"
PP136,"Welsh Socialist Alliance"
PP137,"United Unionist Coalition"
PP138,"Nork Residents' Association"
PP139,"Labour (Federation of Labour Groups)"
PP14,"The Christian Independent Alliance"
PP140,"Port Talbot Residents Association"
PP141,"Tattenhams Residents' Association"
PP142,"The Community (London Borough of Hounslow)"
PP143,"Community Candidates"
PP144,"The Chaos Party"
PP145,"Marxist Party"
PP146,"Anti-Corruption Forum"
PP147,"Derwentside Independents"
PP148,"Newtownabbey Ratepayers Association"
PP149,"Fylde Ratepayers"
PP15,"Hinchley Wood Residents Association"
PP150,"Independent Electors Association"
PP151,"Liberated Party"
PP152,"National Ecological Welfare Political Party"
PP153,"Community Alliance"
PP154,"The Lower Excise Duty Party"
PP155,"The People's Progressive Party"
PP156,"The People's Progressive Party"
PP157,"Justice Party"
PP158,"Residents and Motorists of Great Britain"
PP16,"The Pro Euro Conservative Party"
PP160,"The Flauntit . Net Internet Party"
PP161,"The Flauntit.Net Internet Party"
PP163,"West Ewell and Ruxley Residents Association"
PP164,"The Community Group"
PP165,"The Ulster Protestant League"
PP166,"Make Politicians History"
PP167,"Make Politicians History"
PP169,"The Extinction Club"
PP1694,"Astley Bridge First"
PP1695,"Shavington First"
PP1699,"The Heart of Malvern Party"
PP17,"English Democrats"
PP170,"The Truth Party"
PP1700,"Halton Local Independent Party"
PP1701,"Stratford First"
PP1705,"Irish Republican Socialist Party"
PP171,"Church of the Militant Elvis Party"
PP1713,"National Flood Prevention Party"
PP1714,"Castle Independents"
PP1715,"éirígí"
PP1716,"The European Citizens Party"
PP1717,"Voice 4 Torbay"
PP1718,"Binfield Independent Conservatives"
PP1719,"Independent Party of Eastleigh Councillors"
PP172,"World"
PP1720,"Independents in Hyndburn"
PP1721,"The Chase Independent Party"
PP1722,"The Republican Socialist Party"
PP1723,"Borough of Rochdale Independent Alliance"
PP1724,"Democracy First"
PP1725,"Henley Together"
PP1727,"Wigan Borough Green Socialists"
PP173,"World"
PP1732,"People First - Gwerin Gyntaf"
PP174,"The Stuckist Party"
PP175,"Socialist Environmental Alliance"
PP1756,"Commonwealth National Party"
PP1757,"UK Champagne Socialist Party"
PP1758,"Cannabis Law Reform"
PP1759,"Cannabis Law Reform"
PP176,"The Renaissance Independent Party of Europe"
PP1765,"British Democratic Party"
PP1767,"Freedom Democrats"
PP1768,"Freedom Democrats"
PP177,"The Renaissance Independent Party of Europe"
PP178,"One Less Party"
PP1783,"Royalist Party"
PP179,"The Tatton Group"
PP1790,"The Independent Political Alliance Party"
PP1791,"Northumbria Party - The North East Party"
PP18,"Legalise Cannabis Alliance"
PP180,"Jam Wrestling Party"
PP1803,"Britannica"
PP1804,"OneUs"
PP181,"People's Justice Party"
PP1810,"Hartlepool Independents - Putting Hartlepool First"
PP1813,"The Democratic Party"
PP182,"Ulster Democratic Party"
PP183,"Defend The Welfare State Against Blairism"
PP1830,"Britain First"
PP1831,"Perth Independent Candidates Party"
PP184,"Workers Revolutionary Party"
PP185,"Putting Croydon First!"
PP1855,"Glasgow First"
PP1857,"Llandaff North Independents"
PP1858,"Heath & Birchgrove Independents"
PP186,"Unrepresented Peoples Party"
PP1860,"Democratic Republican Party"
PP1861,"Motorcycle Alliance"
PP187,"Get London Moving Party"
PP1871,"The Realists' Party"
PP1873,"Independent Libertarian Network"
PP1874,"Hersham Village Society"
PP188,"Fancy Dress Party"
PP1882,"Downlands Residents Group"
PP1887,"The Pluralist Party"
PP1888,"iXDemocracy"
PP1889,"iXDemocracy"
PP189,"The Free Party"
PP1890,"Communities Against the Cuts"
PP1891,"Citizens First"
PP1892,"The Fair Party"
PP19,"Legalise Cannabis Alliance"
PP190,"Muslim Party"
PP1905,"The British Empire Party"
PP191,"British Kashmiris Party"
PP1911,"Democrats"
PP1912,"Young People's Party YPP"
PP1913,"New Dawn"
PP1915,"The Taxpayers Party"
PP1917,"The Scottish Reformists' Party"
PP1918,"Independence from Europe"
PP192,"Northern Progress Party"
PP1920,"Fulham Group"
PP193,"Nantwich Independent Party"
PP1931,"National Health Action Party"
PP1934,"People's Democratic Party"
PP194,"The Millennium Council"
PP1946,"Campaign to Stop Politicians Running Policing"
PP1948,"PLC Party"
PP1949,"Zero Tolerance Policing ex  Chief"
PP195,"English Parliamentary Party"
PP1950,"The Community Party"
PP1951,"Wigan Independent Network"
PP1952,"Alliance EPP: European People’s Party UK"
PP1953,"UK in Europe Party (UK EPP)"
PP1954,"nine eleven was an inside job"
PP1957,"Bristol 1st"
PP1958,"Something New"
PP196,"Populist Party"
PP1960,"Nottinghamshire Independent Forum"
PP1961,"UK Yorkshire Socialist Alliance Party"
PP1962,"Democracy 2015"
PP1963,"Pro Liberty"
PP1968,"THE ETHICAL GOVERNANCE PARTY"
PP1969,"Patria"
PP1972,"Don't Cook Party"
PP1975,"New Democracy"
PP198,"Chadwell Heath Residents Association"
PP1982,"F.A.I.R."
PP1983,"The Entertainment Party"
PP1986,"Life"
PP1987,"Independent - Putting People First"
PP199,"Henley Residents Group"
PP1992,"Christian Party Proclaiming Christ's Lordship"
PP1995,"Welwyn Garden City Party"
PP2,"People Against Bureaucracy Group"
PP20,"The Molesey Residents Association"
