Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,"Bethnal Green and Bow",E14000555,http://statistics.data.gov.uk/doc/statistical-geography/E14000555,Communities United Party,PP844,356,
2015-05-07,"Bethnal Green and Bow",E14000555,http://statistics.data.gov.uk/doc/statistical-geography/E14000555,Labour Party,PP53,32387,
2015-05-07,"Bethnal Green and Bow",E14000555,http://statistics.data.gov.uk/doc/statistical-geography/E14000555,The 30-50 Coalition,PP2063,78,
2015-05-07,"Bethnal Green and Bow",E14000555,http://statistics.data.gov.uk/doc/statistical-geography/E14000555,Cannabis is Safer than Alcohol,PP2552,303,
2015-05-07,"Bethnal Green and Bow",E14000555,http://statistics.data.gov.uk/doc/statistical-geography/E14000555,The Whig Party,PP2380,203,
2015-05-07,"Bethnal Green and Bow",E14000555,http://statistics.data.gov.uk/doc/statistical-geography/E14000555,Liberal Democrats,PP90,2395,
2015-05-07,"Bethnal Green and Bow",E14000555,http://statistics.data.gov.uk/doc/statistical-geography/E14000555,UK Independence Party (UKIP),PP85,3219,
2015-05-07,"Bethnal Green and Bow",E14000555,http://statistics.data.gov.uk/doc/statistical-geography/E14000555,Red Flag - Anti-Corruption,PP2343,58,
2015-05-07,"Bethnal Green and Bow",E14000555,http://statistics.data.gov.uk/doc/statistical-geography/E14000555,Green Party,PP63,4906,
2015-05-07,"Bethnal Green and Bow",E14000555,http://statistics.data.gov.uk/doc/statistical-geography/E14000555,Left Unity - Trade Unionists and Socialists,,949,
2015-05-07,"Bethnal Green and Bow",E14000555,http://statistics.data.gov.uk/doc/statistical-geography/E14000555,Conservative Party,PP52,8070,
