Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,"Bridgend",W07000073,http://statistics.data.gov.uk/doc/statistical-geography/W07000073,Trade Unionist and Socialist Coalition,PP804,118,
2015-05-07,"Bridgend",W07000073,http://statistics.data.gov.uk/doc/statistical-geography/W07000073,Liberal Democrats,PP90,1648,
2015-05-07,"Bridgend",W07000073,http://statistics.data.gov.uk/doc/statistical-geography/W07000073,Pirate Party UK,PP770,106,
2015-05-07,"Bridgend",W07000073,http://statistics.data.gov.uk/doc/statistical-geography/W07000073,Conservative Party,PP52,12697,
2015-05-07,"Bridgend",W07000073,http://statistics.data.gov.uk/doc/statistical-geography/W07000073,UK Independence Party (UKIP),PP85,5911,
2015-05-07,"Bridgend",W07000073,http://statistics.data.gov.uk/doc/statistical-geography/W07000073,National Front,PP2707,66,
2015-05-07,"Bridgend",W07000073,http://statistics.data.gov.uk/doc/statistical-geography/W07000073,Labour Party,PP53,14624,
2015-05-07,"Bridgend",W07000073,http://statistics.data.gov.uk/doc/statistical-geography/W07000073,Plaid Cymru - The Party of Wales,PP77,2784,
2015-05-07,"Bridgend",W07000073,http://statistics.data.gov.uk/doc/statistical-geography/W07000073,Independent,,763,
2015-05-07,"Bridgend",W07000073,http://statistics.data.gov.uk/doc/statistical-geography/W07000073,Green Party,PP63,736,
