Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,Cities of London and Westminster,E14000639,http://statistics.data.gov.uk/doc/statistical-geography/E14000639,British National Party,PP106,121967
2015-05-07,Cities of London and Westminster,E14000639,http://statistics.data.gov.uk/doc/statistical-geography/E14000639,Christian Party,PP1992,18784
2015-05-07,Cities of London and Westminster,E14000639,http://statistics.data.gov.uk/doc/statistical-geography/E14000639,Conservative Party,PP52,396847
2015-05-07,Cities of London and Westminster,E14000639,http://statistics.data.gov.uk/doc/statistical-geography/E14000639,English Democrats Party,PP17,32455
2015-05-07,Cities of London and Westminster,E14000639,http://statistics.data.gov.uk/doc/statistical-geography/E14000639,Jury Team,PP999,8721
2015-05-07,Cities of London and Westminster,E14000639,http://statistics.data.gov.uk/doc/statistical-geography/E14000639,Liberal Democrats,PP90,170246
2015-05-07,Cities of London and Westminster,E14000639,http://statistics.data.gov.uk/doc/statistical-geography/E14000639,No2EU: Yes to Democracy,PP2164,13415
2015-05-07,Cities of London and Westminster,E14000639,http://statistics.data.gov.uk/doc/statistical-geography/E14000639,Pro Democracy: Libertas.eu,PP999,6961
2015-05-07,Cities of London and Westminster,E14000639,http://statistics.data.gov.uk/doc/statistical-geography/E14000639,Socialist Labour Party,PP73,14724
2015-05-07,Cities of London and Westminster,E14000639,http://statistics.data.gov.uk/doc/statistical-geography/E14000639,The Green Party,PP63,88244
2015-05-07,Cities of London and Westminster,E14000639,http://statistics.data.gov.uk/doc/statistical-geography/E14000639,The Labour Party,PP53,240201
2015-05-07,Cities of London and Westminster,E14000639,http://statistics.data.gov.uk/doc/statistical-geography/E14000639,United Kingdom Independence Party,PP85,300471
