Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,Hackney South and Shoreditch,E14000721,http://statistics.data.gov.uk/doc/statistical-geography/E14000721,Christian Peoples Alliance,PP79,236
2015-05-07,Hackney South and Shoreditch,E14000721,http://statistics.data.gov.uk/doc/statistical-geography/E14000721,Cannabis is Safer than Alcohol,PP2552,297
2015-05-07,Hackney South and Shoreditch,E14000721,http://statistics.data.gov.uk/doc/statistical-geography/E14000721,Trade Unionist and Socialist Coalition,PP804,302
2015-05-07,Hackney South and Shoreditch,E14000721,http://statistics.data.gov.uk/doc/statistical-geography/E14000721,Green Party,PP63,5519
2015-05-07,Hackney South and Shoreditch,E14000721,http://statistics.data.gov.uk/doc/statistical-geography/E14000721,Independent,,78
2015-05-07,Hackney South and Shoreditch,E14000721,http://statistics.data.gov.uk/doc/statistical-geography/E14000721,Labour and Co-operative Party,,30693
2015-05-07,Hackney South and Shoreditch,E14000721,http://statistics.data.gov.uk/doc/statistical-geography/E14000721,Liberal Democrats,PP90,2186
2015-05-07,Hackney South and Shoreditch,E14000721,http://statistics.data.gov.uk/doc/statistical-geography/E14000721,Workers Revolutionary Party,PP184,63
2015-05-07,Hackney South and Shoreditch,E14000721,http://statistics.data.gov.uk/doc/statistical-geography/E14000721,Campaign,PP2566,28
2015-05-07,Hackney South and Shoreditch,E14000721,http://statistics.data.gov.uk/doc/statistical-geography/E14000721,UK Independence Party (UKIP),PP85,1818
2015-05-07,Hackney South and Shoreditch,E14000721,http://statistics.data.gov.uk/doc/statistical-geography/E14000721,Conservative Party,PP52,6420
