Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"Lewisham, Deptford",E14000789,http://statistics.data.gov.uk/doc/statistical-geography/E14000789,Conservative Party,PP52,7056
2015-05-07,"Lewisham, Deptford",E14000789,http://statistics.data.gov.uk/doc/statistical-geography/E14000789,Democratic Reform Party,PP2216,74
2015-05-07,"Lewisham, Deptford",E14000789,http://statistics.data.gov.uk/doc/statistical-geography/E14000789,Liberal Democrats,PP90,2497
2015-05-07,"Lewisham, Deptford",E14000789,http://statistics.data.gov.uk/doc/statistical-geography/E14000789,Green Party,PP63,5932
2015-05-07,"Lewisham, Deptford",E14000789,http://statistics.data.gov.uk/doc/statistical-geography/E14000789,UK Independence Party (UKIP),PP85,2013
2015-05-07,"Lewisham, Deptford",E14000789,http://statistics.data.gov.uk/doc/statistical-geography/E14000789,Trade Unionist and Socialist Coalition,PP804,286
2015-05-07,"Lewisham, Deptford",E14000789,http://statistics.data.gov.uk/doc/statistical-geography/E14000789,Labour Party,PP53,28572
2015-05-07,"Lewisham, Deptford",E14000789,http://statistics.data.gov.uk/doc/statistical-geography/E14000789,Independent,,30
2015-05-07,"Lewisham, Deptford",E14000789,http://statistics.data.gov.uk/doc/statistical-geography/E14000789,Christian Peoples Alliance,PP79,300
2015-05-07,"Lewisham, Deptford",E14000789,http://statistics.data.gov.uk/doc/statistical-geography/E14000789,Lewisham People Before Profit,PP789,666
