Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,Ballots Rejected
2015-05-07,North Down,N06000013,http://statistics.data.gov.uk/doc/statistical-geography/N06000013,Green Party,PP305,1958,
2015-05-07,North Down,N06000013,http://statistics.data.gov.uk/doc/statistical-geography/N06000013,Conservative and Unionist Party,PP51,1593,
2015-05-07,North Down,N06000013,http://statistics.data.gov.uk/doc/statistical-geography/N06000013,Traditional Unionist Voice - TUV,PP680,686,
2015-05-07,North Down,N06000013,http://statistics.data.gov.uk/doc/statistical-geography/N06000013,Cannabis is Safer than Alcohol,PP2724,338,
2015-05-07,North Down,N06000013,http://statistics.data.gov.uk/doc/statistical-geography/N06000013,Democratic Unionist Party - D.U.P.,PP70,8487,
2015-05-07,North Down,N06000013,http://statistics.data.gov.uk/doc/statistical-geography/N06000013,Independent,,17689,
2015-05-07,North Down,N06000013,http://statistics.data.gov.uk/doc/statistical-geography/N06000013,UK Independence Party (UK I P),PP84,1482,
2015-05-07,North Down,N06000013,http://statistics.data.gov.uk/doc/statistical-geography/N06000013,Sinn Féin,PP39,273,
2015-05-07,North Down,N06000013,http://statistics.data.gov.uk/doc/statistical-geography/N06000013,Alliance - Alliance Party of Northern Ireland,PP103,3086,
2015-05-07,North Down,N06000013,http://statistics.data.gov.uk/doc/statistical-geography/N06000013,SDLP (Social Democratic & Labour Party),PP55,355,
