Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,"Sheffield Central",E14000919,http://statistics.data.gov.uk/doc/statistical-geography/E14000919,Communist Party of Britain,PP78,119,
2015-05-07,"Sheffield Central",E14000919,http://statistics.data.gov.uk/doc/statistical-geography/E14000919,Labour Party,PP53,24308,
2015-05-07,"Sheffield Central",E14000919,http://statistics.data.gov.uk/doc/statistical-geography/E14000919,English Democrats,PP17,68,
2015-05-07,"Sheffield Central",E14000919,http://statistics.data.gov.uk/doc/statistical-geography/E14000919,The Above and Beyond Party,PP2551,42,
2015-05-07,"Sheffield Central",E14000919,http://statistics.data.gov.uk/doc/statistical-geography/E14000919,UK Independence Party (UKIP),PP85,3296,
2015-05-07,"Sheffield Central",E14000919,http://statistics.data.gov.uk/doc/statistical-geography/E14000919,Green Party,PP63,6999,
2015-05-07,"Sheffield Central",E14000919,http://statistics.data.gov.uk/doc/statistical-geography/E14000919,Workers Revolutionary Party,PP184,33,
2015-05-07,"Sheffield Central",E14000919,http://statistics.data.gov.uk/doc/statistical-geography/E14000919,Pirate Party UK,PP770,113,
2015-05-07,"Sheffield Central",E14000919,http://statistics.data.gov.uk/doc/statistical-geography/E14000919,Liberal Democrats,PP90,4278,
2015-05-07,"Sheffield Central",E14000919,http://statistics.data.gov.uk/doc/statistical-geography/E14000919,Conservative Party,PP52,4917,
