Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"South Thanet",E14000948,http://statistics.data.gov.uk/doc/statistical-geography/E14000948,We Are The Reality Party,PP2595,126
2015-05-07,"South Thanet",E14000948,http://statistics.data.gov.uk/doc/statistical-geography/E14000948,Manston Airport Independent Party,PP2650,191
2015-05-07,"South Thanet",E14000948,http://statistics.data.gov.uk/doc/statistical-geography/E14000948,Party for a United Thanet,PP2539,63
2015-05-07,"South Thanet",E14000948,http://statistics.data.gov.uk/doc/statistical-geography/E14000948,Green Party,PP63,1076
2015-05-07,"South Thanet",E14000948,http://statistics.data.gov.uk/doc/statistical-geography/E14000948,UK Independence Party (UKIP),PP85,16026
2015-05-07,"South Thanet",E14000948,http://statistics.data.gov.uk/doc/statistical-geography/E14000948,Conservative Party,PP52,18838
2015-05-07,"South Thanet",E14000948,http://statistics.data.gov.uk/doc/statistical-geography/E14000948,Independent,,61
2015-05-07,"South Thanet",E14000948,http://statistics.data.gov.uk/doc/statistical-geography/E14000948,Free United Kingdom Party,PP2597,318
2015-05-07,"South Thanet",E14000948,http://statistics.data.gov.uk/doc/statistical-geography/E14000948,Labour Party,PP53,11740
2015-05-07,"South Thanet",E14000948,http://statistics.data.gov.uk/doc/statistical-geography/E14000948,Liberal Democrats,PP90,932
2015-05-07,"South Thanet",E14000948,http://statistics.data.gov.uk/doc/statistical-geography/E14000948,Al-Zebabist Nation of Ooog,PP2399,30
